,Ticker,TotalAssets,PrimarySector,MarketCapitalization,NumberEmployees,TransactionType,TransactionValue
78,TSX:MG,35403.0,Consumer Discretionary,19736.3,168000.0,1.0,877.11
79,TSX:MFC,750271.0,Financials,47140.4,34000.0,11.0,729.4136363636363
80,TSX:MFI,3127.8,Consumer Staples,3632.5,12500.0,1.0,194.4
81,TSX:MX,6289.2,Materials,4268.4,1426.0,2.0,365.0
82,TSX:MRU,10922.2,Consumer Staples,12605.4,41213.0,5.0,559.704
83,TSX:NA,262471.0,Financials,21235.3,24137.0,500.0,42.55649999999995
84,TSX:NPI,10336.0,Utilities,4599.0,363.0,1.0,750.0
85,TSX:NTR,62089.3,Materials,38684.0,20300.0,5.0,2700.94
86,TSX:ONEX,61973.3,Financials,8135.8,207000.0,0.0,0.0
87,NasdaqGS:OTEX,10378.2,Information Technology,14905.9,13100.0,3.0,622.9633333333334
88,TSX:PAAS,2643.8,Materials,3565.0,4530.0,0.0,0.0
89,TSX:PXT,2356.5,Energy,3129.7,279.0,0.0,0.0
90,TSX:PKI,5661.0,Energy,6561.0,3051.0,6.0,441.2916666666667
91,TSX:PPL,26664.0,Energy,25494.4,2162.0,13.0,330.08230769230767
92,TSX:POW,452303.0,Financials,12037.4,30000.0,3.0,616.6666666666666
93,TSX:PWF,447055.0,Financials,19730.3,28000.0,2.0,950.0
94,TSX:PSK,2816.9,Energy,4470.1,59.0,3.0,112.66666666666667
95,TSX:PBH,2450.5,Consumer Staples,3519.2,9250.0,5.0,143.602
96,TSX:QBR.B,9531.6,Communication Services,8096.2,10039.0,0.0,0.0
97,NYSE:QSR,27483.2,Consumer Discretionary,24044.9,6000.0,0.0,0.0
98,TSX:REI.UN,14003.8,Real Estate,8033.4,597.0,4.0,287.495
99,NYSE:RBA,2800.6,Industrials,4869.3,2200.0,2.0,331.11
100,TSX:RCI.B,31918.0,Communication Services,36062.0,24500.0,4.0,1064.75
101,TSX:RY,1334734.0,Financials,149713.5,82197.0,1257.0,62.64786793953845
102,TSX:SAP,9885.6,Consumer Staples,15380.8,16800.0,5.0,310.12600000000003
103,TSX:SJR.B,14424.0,Communication Services,13588.2,10000.0,5.0,324.67400000000004
104,NYSE:SHOP,3076.7,Information Technology,45501.3,4000.0,4.0,604.6575
105,TSX:SRU.UN,9459.6,Real Estate,4775.5,337.0,7.0,221.49571428571429
106,TSX:SNC,12939.7,Industrials,4392.4,52435.0,5.0,435.01399999999995
107,TSX:TOY,1426.5,Consumer Discretionary,3791.3,1881.0,3.0,143.19333333333336
108,TSX:STN,4009.9,Industrials,3549.0,22000.0,1.0,525.14
109,TSX:SJ,2062.2,Materials,3240.5,2108.0,3.0,260.5133333333334
110,TSX:SLF,271827.0,Financials,32306.2,22318.0,3.0,582.6633333333333
111,TSX:SU,89579.0,Energy,65928.4,12480.0,6.0,1366.46
112,TSX:TRP,98920.0,Energy,61337.2,7081.0,6.0,1670.1533333333334
113,TSX:TECK.B,39626.0,Materials,15901.5,10000.0,2.0,810.665
